Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jackson Chourio","MIL",109,495,21,78,59,15,0.078787878,0.236363636,0.192477876,0.335443037,0.280973451,0.339393939,0.473451327,0.35010344057667014,0.33295274953373144,122.46121339665068,0.7633171258494258,14.185317947862899,1.8118844032287598,3.2647407659442185,"Jackson Chourio",28806,694192
"CJ Abrams","WSN",136,588,30,84,95,28,0.088435374,0.244897959,0.235521236,0.305714285,0.264478764,0.341836734,0.5,0.36157860501199707,0.3290066915015652,126.83880775532306,3.311619976069778,22.36269089765817,-9.517438888549805,3.251040803421137,"CJ Abrams",25768,682928
"Bryson Stott","PHI",136,534,10,61,61,24,0.097378277,0.170411985,0.145569621,0.292553191,0.253164556,0.327683615,0.398734177,0.3210516849255607,0.32657457434612774,98.1021787181204,7.4708959511481225,6.2474763969267535,8.210741519927979,3.23687619283284,"Bryson Stott",26294,681082
"Rafael Devers","SFG",144,615,35,85,91,0,0.107317073,0.256910569,0.259668508,0.296610169,0.257826887,0.338211382,0.517495395,0.36444009094206964,0.3388593444321458,133.2050127869305,-0.5792015176266432,24.07310822599117,-12.464665114879608,3.2142989106364928,"Rafael Devers",17350,646240
"Gunnar Henderson","BAL",143,638,22,83,57,10,0.094043887,0.217868338,0.178130512,0.25245098,0.220458553,0.304075235,0.398589065,0.3086589186210332,0.31520580381859004,98.7023760158368,3.1229512183927,2.1629612855499047,6.280000329017639,3.159182374281217,"Gunnar Henderson",26289,683002
"Chase DeLauter","CLE",120,499,13,56,60,10,0.102204408,0.148296593,0.164044944,0.326869806,0.294382022,0.364729458,0.458426966,0.36041836545080363,0.3426445238517992,132.98303449675194,0.11184170562773943,19.19667147646853,-6.190646171569824,3.1229260455623202,"Chase DeLauter",32127,800050
"Jordan Walker","STL",140,601,28,90,100,19,0.073211314,0.252911813,0.21129326,0.343163538,0.284153005,0.339434276,0.495446265,0.36034393360217415,0.3473975626627604,129.77245675387272,1.8905691015534103,23.49127745767724,-12.694656372070312,3.0853641304155426,"Jordan Walker",27475,691023
"Colson Montgomery","CHW",135,571,31,67,82,1,0.084063047,0.345008756,0.225490196,0.27112676,0.211764705,0.292469352,0.437254901,0.31643946867593575,0.3057215264502992,102.06444132426383,-2.422398064751178,-1.0555010720537068,11.134886264801025,3.084366689740662,"Colson Montgomery",29712,695657
"Zach Neto","LAA",138,616,23,89,67,19,0.089285714,0.310064935,0.190909091,0.320474777,0.238181818,0.318181818,0.429090909,0.32771279637406514,0.3045993270625509,110.35430036200442,-1.1017011944204569,6.294327835748871,1.7424349784851074,3.0385271697278196,"Zach Neto",31347,687263
"Brayan Rocchio","CLE",137,530,13,55,60,18,0.06226415,0.145283018,0.131524008,0.267175572,0.246346555,0.30608365,0.377870563,0.30288806874942414,0.2911838516878442,92.9257098953222,-0.0778984958305955,-4.425561473633136,15.322945594787598,3.0199071344473523,"Brayan Rocchio",23690,677587
"Carson Benge","NYM",137,566,16,71,54,20,0.070671378,0.217314487,0.140655106,0.333333333,0.275529865,0.333922261,0.416184971,0.33037939272095673,0.33562886991177865,109.52227566367279,3.05702908616513,9.563358223059705,1.634286880493164,3.0105562460919044,"Carson Benge",35177,701807
"Yandy Díaz","TBR",138,615,21,83,77,3,0.084552845,0.141463414,0.162408759,0.328089887,0.304744525,0.372357723,0.467153284,0.36466930398017117,0.3575115582800859,134.893861984351,-2.2168032634072006,22.6672596506546,-14.9074068069458,3.006722779780479,"Yandy Diaz",16578,650490
"Mike Trout","LAA",124,553,20,76,51,11,0.160940325,0.256781193,0.18141593,0.308219178,0.243362831,0.376811594,0.424778761,0.35183742119071665,0.3752350816036642,127.15184848146586,-0.8461762950755656,16.564741647112044,-7.136500835418701,2.9531823577256664,"Mike Trout",10155,545361
"Steven Kwan","CLE",134,559,2,70,27,9,0.130590339,0.10017889,0.061181435,0.303102625,0.272151898,0.371841155,0.333333333,0.3233989386618892,0.32165007599933115,107.20706460840523,0.3349965689703822,5.006614956792989,3.444653272628784,2.875311943398676,"Steven Kwan",24610,680757
