Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,AB,H,2B,3B,BB,SO,OPS,NameASCII,PlayerId,MLBAMID
"Oswald Peraza","LAA",32,102,4,10,9,5,0.06862745,0.25490196,0.184782609,0.354838709,0.282608695,0.346534653,0.467391304,0.36125179328540763,0.3257498788361502,125.71102618115005,0.18280971888452768,3.2964602132426943,0.4339454919099808,0.7438803847067995,92,26,5,0,7,26,0.813925957,"Oswald Peraza",22823,672724
"Myles Straw","TOR",27,59,2,16,6,1,0.101694915,0.101694915,0.156862745,0.295454545,0.294117647,0.362068965,0.450980392,0.3601867217442085,0.3662193890275626,126.76491572404443,-0.6995451389811933,1.1753119583848466,0.00955730676651001,0.3313899400550953,51,15,2,0,6,6,0.813049357,"Myles Straw",17620,664702
"Carlos Correa","HOU",31,137,3,22,16,1,0.131386861,0.167883211,0.144067796,0.333333333,0.288135593,0.379562043,0.432203389,0.36223166304476123,0.37528469983269186,128.10891978187772,0.24609612300992012,4.818188563365886,2.5638102293014526,1.2401945444078746,118,34,8,0,18,23,0.811765432,"Carlos Correa",14162,621043
"Dominic Canzone","SEA",29,80,3,10,12,1,0.075,0.225,0.222222223,0.307692307,0.263888888,0.325,0.486111111,0.3537340179085732,0.37773129940032957,128.31883048483047,-0.1029379740357399,2.5868347180988067,-2.8254246413707733,0.26178406779005087,72,19,7,0,6,18,0.811111111,"Dominic Canzone",26438,686527
"Jorge Soler","LAA",31,134,7,17,26,0,0.111940298,0.305970149,0.230088495,0.294117647,0.238938053,0.335820895,0.469026548,0.3531209475068904,0.3284787420016616,120.25532931450886,-0.5819991542957723,2.6405116792636867,-4.45413076877594,0.2947614204405558,113,27,5,0,15,41,0.804847443,"Jorge Soler",14221,624585
"Jeff McNeil","ATH",33,117,1,9,12,1,0.085470085,0.102564102,0.107843137,0.34065934,0.31372549,0.379310344,0.421568627,0.35888422922841434,0.34000087606495827,122.49336972918641,-0.7995370305143297,2.325035878241152,-1.7782319486141205,0.47390863572534786,102,32,8,0,10,12,0.800878971,"Jeff McNeil",15362,643446
"Hyeseong Kim","LAD",24,68,1,8,8,5,0.102941176,0.19117647,0.1,0.382978723,0.316666666,0.382352941,0.416666666,0.35898180568919463,0.34475262024823355,127.53972401770322,0.7612221678718925,2.962389093191176,1.2064414322376251,0.646264742613331,60,19,3,0,7,13,0.799019607,"Hyeseong Kim",35322,808975
"Kyle Isbel","KCR",28,95,3,12,8,5,0.052631578,0.231578947,0.156626506,0.362068965,0.289156626,0.351648351,0.445783132,0.356624614406418,0.31006165389176255,120.78138555931064,1.15138533199206,3.495335554507897,-0.04747670888900757,0.6901321990378849,83,24,4,0,5,22,0.797431483,"Kyle Isbel",21614,664728
"William Contreras","MIL",31,138,3,20,23,0,0.101449275,0.108695652,0.129032258,0.320754716,0.298387096,0.369565217,0.427419354,0.353342184687362,0.35109152513391834,123.96483562262338,-0.8431623377837241,3.0440478374945212,1.396676242351532,0.9029621964510441,124,37,7,0,14,15,0.796984571,"William Contreras",20503,661388
"Randy Arozarena","SEA",35,146,3,23,12,7,0.109589041,0.232876712,0.16,0.344444444,0.272,0.363013698,0.432,0.35524533382833823,0.3315726241020307,129.33290475859823,1.3032698221504688,6.387886377673034,-2.110716462135315,0.9567771215939164,125,34,9,1,16,34,0.795013698,"Randy Arozarena",19290,668227
"Sam Antonacci","CHW",17,61,1,7,7,0,0.081967213,0.098360655,0.176470589,0.266666666,0.25490196,0.360655737,0.431372549,0.3539531084357715,0.40363982518513997,121.72778299512981,-0.5371107249520719,1.0364935597155636,-0.6244969144463539,0.2599806737658955,51,13,2,2,5,6,0.792028286,"Sam Antonacci",35101,803011
"JJ Wetherholt","STL",34,156,7,27,16,4,0.108974358,0.179487179,0.2,0.24742268,0.238461538,0.352564102,0.438461538,0.35450279598052686,0.358581789078251,126.15623437654362,1.0675673033110797,5.863623913323376,3.3584267497062683,1.4478708158804836,130,31,5,0,17,28,0.79102564,"JJ Wetherholt",34985,802139
"Kazuma Okamoto","TOR",33,138,9,18,22,0,0.108695652,0.289855072,0.235772358,0.27027027,0.235772357,0.318840579,0.471544715,0.3487367530663808,0.3594406514927961,119.08212847898167,-1.1673584594391286,1.959125330336612,0.2713480005040765,0.7201329965196109,123,29,2,0,15,40,0.790385294,"Kazuma Okamoto",37123,672960
"Spencer Torkelson","DET",34,132,6,13,14,0,0.151515151,0.287878787,0.216216216,0.283582089,0.225225225,0.348484848,0.441441441,0.3543621599674225,0.3743653625022364,122.0086335679151,-0.5704264184460044,2.8787649466391203,-3.9422422647476196,0.3638601646623681,111,25,6,0,20,38,0.789926289,"Spencer Torkelson",27465,679529
"Matt Shaw","CHC",30,86,3,10,10,2,0.058139534,0.186046511,0.189873418,0.311475409,0.278481012,0.317647058,0.46835443,0.3433235575171078,0.3084502276252298,118.2206819946572,0.1392453657463193,1.9810669651007127,-0.9362274259328842,0.3876217167414673,79,22,6,0,5,16,0.786001488,"Matt Shaw",33322,807713
"Angel Martínez","CLE",31,110,5,13,16,5,0.027272727,0.19090909,0.205882353,0.298701298,0.274509803,0.305555555,0.480392156,0.3426961534553104,0.3233170197388836,115.60551119910738,-0.3069145241752267,1.7311642412026433,1.5605145692825317,0.7278887227213596,102,28,6,0,3,21,0.785947711,"Angel Martinez",26540,682657
"Luke Raley","SEA",31,96,5,11,13,0,0.052083333,0.375,0.235955056,0.354166666,0.247191011,0.302083333,0.483146067,0.3434786976625522,0.37503989537556964,121.43763754910346,-0.0018123802728950977,2.4416093744924905,-4.199740767478943,0.16453447115343153,89,22,4,1,5,36,0.7852294,"Luke Raley",19354,670042
"Miguel Vargas","CHW",33,145,6,22,17,5,0.165517241,0.172413793,0.20338983,0.227272727,0.220338983,0.358620689,0.423728813,0.35072440322902465,0.36402779155307347,119.56136176914892,0.28945811465382576,3.6570338107493416,-0.32058921456336975,0.857579785092035,118,26,4,1,24,25,0.782349502,"Miguel Vargas",20178,678246
"Edouard Julien","COL",29,101,2,15,12,3,0.128712871,0.287128712,0.126436782,0.392857142,0.275862068,0.376237623,0.40229885,0.35447654865755895,0.35715526165348466,110.20828725771112,-0.10889965295791626,1.102977891425604,-3.333258628845215,0.10379998533044266,87,24,3,1,13,29,0.778536473,"Edouard Julien",27534,666397
"Jose Fernandez","ARI",28,97,3,19,12,1,0.041237113,0.216494845,0.130434782,0.367647058,0.304347826,0.340206185,0.434782608,0.3453588172332528,0.30371748540819304,116.80090220025593,-0.14120902912691236,1.7743203620827823,-2.095412492752075,0.2847740789163092,92,28,3,0,4,21,0.774988793,"Jose Fernandez",28020,699912
"Tristan Gray","MIN",18,61,3,8,13,0,0.049180327,0.327868852,0.181818182,0.363636363,0.272727272,0.316666666,0.454545454,0.33841123680273694,0.2996973264015327,110.80236964340972,-0.3420248688198626,0.44032163930033186,1.0526950359344482,0.36986309354875196,55,15,1,0,3,20,0.77121212,"Tristan Gray",19877,656484
