Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Erik Swanson","TOR",2,2,0,45,0,39.1,8.466102789682006,3.2033902447445426,2.516949478013569,0.23809523809523808,0.81460674,0.422413793,0.268292682,93.88000891516516,5.033898956027138,5.187174147457411,6.064785237820572,4.005268310189684,-0.6286770105361938,"Erik Swanson",16587,657024
"Chris Devenski","TBR",2,1,0,19,0,26.2,8.10000077247627,4.725000450611158,3.037500289678601,0.25333333333333335,0.57823129,0.25,0.183673469,93.2190147307982,6.750000643730225,5.890491047594616,7.328980175256767,5.719795468225636,-0.667786180973053,"Chris Devenski",12763,606965
"Dany Jiménez","OAK",1,3,1,25,0,25.2,8.766235286258029,6.662338817556102,2.103896468701927,0.22727272727272727,0.70552147,0.323943661,0.146341463,92.76541697485207,4.909091760304496,5.059974579595988,6.5950518013596025,5.971376809649604,-0.6867781281471252,"Dany Jimenez",21170,666204
"Nick Sandlin","CLE",8,0,1,67,0,56.2,10.48235623422482,3.9705894826609165,1.90588295167724,0.25757575757575757,0.79734219,0.378571428,0.184615384,92.66667793036332,3.81176590335448,4.5325075211277674,5.231186309273472,4.212607396422186,-0.6912351250648499,"Nick Sandlin",20517,680704
"Yerry Rodríguez","- - -",1,0,0,16,0,21.2,7.061539290388757,5.400000633826697,2.907692648983606,0.2878787878787879,0.60897436,0.347222222,0.212121212,96.52833203125,8.723077946950818,8.819149581662934,7.874172638548966,5.9770775268917005,-0.7119100242853165,"Yerry Rodriguez",21955,666720
"Steven Wilson","CHW",1,6,0,40,0,34.2,8.826925667080708,6.7500019807087765,2.076923686371931,0.22826086956521738,0.61965812,0.237113402,0.145454545,93.63738816784274,5.711540137522811,5.266935585411076,6.714557742508511,6.113417056751301,-0.753273069858551,"Steven Wilson",20353,621051
"Matt Moore","LAA",5,3,1,51,0,48.1,7.63448416457049,4.84138020192275,2.0482762392750096,0.2153846153846154,0.69767442,0.294117647,0.152777777,92.9817616637324,5.027587132765933,4.324263348752411,6.166480330763294,5.460230654108274,-0.7791074514389038,"Matt Moore",1890,519043
"Tyler Alexander","TBR",5,3,0,14,0,62,7.548387561206668,1.887096890301667,2.1774194888096154,0.29347826086956524,0.6984127,0.311224489,0.151515151,89.98722883798544,5.806451970158975,4.949173529761661,5.360028300349852,4.62920296854481,-0.78538578748703,"Tyler Alexander",17735,641302
"Jake Diekman","NYM",2,3,4,43,0,32,11.250004693867735,6.750002816320641,1.9687508214268536,0.22857142857142856,0.65533981,0.447368421,0.291666666,94.7489752435065,5.625002346933868,5.083485106913335,6.135231016949336,4.425486608254779,-0.809823751449585,"Jake Diekman",5003,518617
"Justin Lawrence","COL",4,4,2,56,0,59.2,6.787710654438492,4.977654479921561,1.3575421308876985,0.34594594594594597,0.60756972,0.53125,0.18,,6.486034625352337,6.2462584475094145,5.630167349160063,4.936319526583107,-0.827526867389679,"Justin Lawrence",17639,664875
"Rafael Montero","HOU",1,2,0,41,0,38.1,5.400000716499755,4.460870157108493,1.8782611187825236,0.24324324324324326,0.7860262,0.420168067,0.186046511,95.61858350409837,4.695652796956309,5.792325784632806,6.4012628161930305,5.384298197801484,-0.8999406099319458,"Rafael Montero",12760,606160
"Grant Anderson","TEX",0,1,1,23,0,26.2,9.787502333522399,3.3750008046628963,3.712500885129186,0.3188405797101449,0.6993007,0.4,0.297297297,92.39405776515152,8.10000193119095,5.127712084993044,7.591480833292259,4.326891718586401,-0.9493771195411682,"Grant Anderson",20546,681982
"Enyel De Los Santos","- - -",1,2,2,64,0,64,9.281252074521499,3.515625785803598,2.3906255343464466,0.2909090909090909,0.8005618,0.344444444,0.195402298,95.53763710446589,5.203126162989325,5.144052771358134,5.963355403440213,4.565616518229076,-0.9633167237043381,"Enyel De Los Santos",18403,660853
