Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Jared Koenig","MIL",55,169,3.05217391,36,4,1,17,13,2,19,4,4,42,0.248275862,0.351190476,0.331034482,0.3017942331186155,27517
2024,"Graham Ashcraft","CIN",15,188,4.752,46,11,0,24,22,4,13,0,6,33,0.272189349,0.34574468,0.408284023,0.3330331673013403,27552
2024,"Carmen Mlodzinski","PIT",39,115,3.25301205,23,4,0,11,10,2,12,1,1,28,0.227722772,0.313043478,0.326732673,0.28426946307483475,27572
2024,"Hayden Wesneski","CHC",28,159,4.42241379,31,4,0,22,19,8,13,0,0,42,0.212328767,0.276729559,0.404109589,0.296389158416844,27581
2024,"Davis Daniel","LAA",6,62,7.81578947,21,5,0,11,11,3,3,0,0,13,0.355932203,0.387096774,0.593220338,0.41855960315273655,27582
2024,"Logan Allen","CLE",20,359,5.93775934,97,25,3,53,53,18,36,0,2,63,0.30599369,0.377094972,0.574132492,0.40290562450552786,27589
2024,"Cody Bradford","TEX",14,226,4.01785714,47,5,2,27,25,9,11,0,0,54,0.219626168,0.256637168,0.387850467,0.2779292764916884,27597
2024,"Jeff Criswell","COL",12,51,3.08571428,11,2,0,4,4,3,6,0,1,18,0.25,0.352941176,0.5,0.36868561132281435,27608
2024,"Walter Pennington","2 Tms",16,43,2.79310345,9,2,0,3,3,0,5,0,1,7,0.243243243,0.348837209,0.297297297,0.2987607648206312,27624
2024,"Mitchell Parker","WSN",29,490,4.91618497,112,24,1,67,63,17,36,0,2,92,0.251121076,0.306748466,0.423766816,0.31596900568417974,27636
2024,"Luis Ortiz","PIT",37,293,2.26046512,60,12,2,21,18,4,18,0,7,58,0.224719101,0.290102389,0.329588014,0.2761404813353112,27646
2024,"Tanner Gordon","COL",8,81,7.56,29,5,1,14,14,6,2,0,2,17,0.376623376,0.407407407,0.701298701,0.4687349730067783,27669
2024,"Carson Spiers","CIN",22,202,4.89130435,53,9,0,26,25,10,12,0,3,43,0.283422459,0.336633663,0.491978609,0.35739819336645673,27685
2024,"Jack Kochanowicz","LAA",11,110,4.55421687,26,2,0,14,14,5,6,1,1,14,0.25490196,0.302752293,0.421568627,0.3118083041023325,27688
2024,"Louis Varland","MIN",15,115,8.25,31,4,0,24,22,6,10,1,2,23,0.31,0.377192982,0.53,0.3847251022811485,27691
2024,"Mitch Spence","OAK",35,359,4.55294118,87,18,1,44,43,10,29,0,2,57,0.266871165,0.329608938,0.420245398,0.3274593454832471,27707
2024,"Bailey Horn","BOS",16,40,5.19230769,8,3,0,5,5,0,6,2,0,8,0.242424242,0.35,0.333333333,0.28758986529551056,27753
