Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Jesús Sánchez","- - -",134,497,14,61,48,13,0.084507042,0.221327967,0.157427938,0.282674772,0.237250554,0.303822937,0.394678492,0.30433660637467136,0.32309532934619534,93.36182380308922,0.20609640888869762,-3.6738594518016434,-2.915589213371277,1.0363810948102872,"Jesus Sanchez",19913,660821
"Cam Smith","HOU",134,493,9,55,51,8,0.087221095,0.277890466,0.122448979,0.319865319,0.235827664,0.312373225,0.358276643,0.2978117181853397,0.3043791981788001,90.27047905751526,1.7529909331351519,-3.900425166546327,-2.9485023021698,1.0353342325191635,"Cam Smith",35108,701358
"Anthony Volpe","NYY",153,596,19,65,72,18,0.072147651,0.251677852,0.179962895,0.251989389,0.211502782,0.271500843,0.391465677,0.28633192176561534,0.3006652265937895,82.91537728484958,1.1349963136017323,-10.86619135782473,0.30709314346313477,1.0184446723868927,"Anthony Volpe",27647,683011
"Jacob Young","WSN",120,364,2,34,31,15,0.074175824,0.178571428,0.055555556,0.282945736,0.231481481,0.295774647,0.287037037,0.264013409614563,0.29680508189430993,66.46290774755558,-0.019529514014720917,-14.487945770824055,12.234900832176208,1.0085275699236285,"Jacob Young",29931,696285
"Liam Hicks","MIA",119,390,6,37,45,2,0.11025641,0.143589743,0.099397591,0.278388278,0.246987951,0.346253229,0.346385542,0.31273318353549456,0.31543107466264203,98.4764012202611,-0.8093518577516079,-1.5136060306184111,-1.6459323167800903,1.004284968445041,"Liam Hicks",29844,689414
"Rob Refsnyder","BOS",70,209,9,29,30,3,0.114832535,0.258373205,0.214285714,0.330578512,0.269230769,0.354066985,0.483516483,0.3591034584320508,0.3380052126370944,127.72064448780624,-0.44938722997903824,6.379063562209315,-3.8398490846157074,0.9957723887033684,"Rob Refsnyder",13770,608701
"Royce Lewis","MIN",106,403,13,36,52,12,0.062034739,0.198511166,0.151595745,0.266666666,0.236702127,0.282878411,0.388297872,0.2915320652294396,0.2968748106849992,84.61138891739624,1.0781612414866686,-6.23115992387489,2.023971676826477,0.9886884727463808,"Royce Lewis",20437,668904
"Kyle Higashioka","TEX",94,327,11,33,47,3,0.061162079,0.220183486,0.161716172,0.279279279,0.240924092,0.290519877,0.402640264,0.3005201559547984,0.29341778094951926,92.96629799439975,-1.2983163204044104,-4.009158860911768,2.317108154296875,0.9783898032774465,"Kyle Higashioka",5517,543309
"Graham Pauley","MIA",62,184,4,18,11,2,0.114130434,0.195652173,0.142857143,0.262295081,0.223602484,0.311475409,0.366459627,0.3001943393483188,0.29898325602213544,89.88688970160203,-0.7100696805864573,-2.915517427800308,6.2848159074783325,0.9710504568998412,"Graham Pauley",31363,688363
"Austin Martin","MIN",50,181,1,22,7,11,0.121546961,0.171270718,0.083333333,0.346774193,0.282051282,0.374301675,0.365384615,0.33281635205838933,0.34527822313361994,113.0505891082354,0.6449010241776705,3.428978175092743,-0.22200924158096313,0.9654919729823749,"Austin Martin",27462,668885
"Freddy Fermin","- - -",109,347,5,32,26,1,0.054755043,0.187319884,0.087774294,0.301204819,0.250783699,0.297058823,0.338557993,0.2804202034761772,0.2701726015876321,77.31664205501721,-1.7309268228709698,-11.030956044295408,8.629390854388475,0.9598981198326757,"Freddy Fermin",21840,666023
"Spencer Steer","CIN",146,568,21,66,75,7,0.089788732,0.227112676,0.172888016,0.27700831,0.237721021,0.312169312,0.410609037,0.315815327554363,0.2928986245013298,97.04870123388791,-0.44436158798635006,-2.4311687540213196,-7.090264081954956,0.9592888271182829,"Spencer Steer",26323,668715
"Austin Wynns","- - -",40,110,6,13,21,0,0.045454545,0.29090909,0.252427185,0.363636363,0.291262135,0.321100917,0.54368932,0.36528077858303665,0.29529789390913935,131.75097680892057,-0.1971865762025118,3.9508660403489344,1.6471525393426418,0.9550535781273572,"Austin Wynns",15271,642851
"Alex Call","- - -",110,322,5,43,31,2,0.111801242,0.170807453,0.118518519,0.313084112,0.266666666,0.360759493,0.385185185,0.3314664688291429,0.32108781887934756,112.82532246310346,-1.4413915313780308,3.453221596844368,-4.9840177744627,0.939456241953355,"Alex Call",19296,669743
